ncbi_taxon_id_left,aphia_id_left,species_canonical,synonyms,subspecies_left,target_list_status_left,sequencing_status_left,status_left,publication_id_left,rank_left,isMarine_left,isBrackish_left,isFreshwater_left,isTerrestrial_left,isExtinct_left,modified_left,spec_code,order_left,family_x_left,Genus,authority_left,FBname,DemersPelag,Subfamily,depth_min_in_m,depth_max_in_m,common_depth_min,common_depth_max,length_max_in_cm,common_length_in_cm,weight_max_in_g,TempMin,TempMax,__norm_name_left,__aphia,__ncbi_left,ncbi_taxon_id_right,species,subspecies_right,family_x_right,target_list_status_right,sequencing_status_right,synonym,publication_id_right,aphia_id_right,url,scientificname,authority_right,status_right,rank_right,valid_AphiaID,valid_name,order_right,family_y,genus,isMarine_right,isBrackish_right,isFreshwater_right,isTerrestrial_right,isExtinct_right,modified_right,aphia_id_effective,__norm_name_right,__ncbi_right,__source_index,__match_type
1213703,105803,Paragaleus pectoralis,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,4998.0,Carcharhiniformes,Hemigaleidae,Paragaleus,"(Garman, 1906)",Atlantic weasel shark,demersal,,,100.0,30.0,70.0,140.0,100.0,,,,paragaleus pectoralis,105803,1213703,1213703,Paragaleus pectoralis,-,Hemigaleidae,long_list,-,-,-,105803.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105803,Paragaleus pectoralis,"(Garman, 1906)",accepted,Species,105803.0,Paragaleus pectoralis,Carcharhiniformes,Hemigaleidae,Paragaleus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105803.0,paragaleus pectoralis,1213703,18748,aphia
376642,105804,Leptocharias smithii,[],-,long_list,-,accepted,-,Species,1.0,1.0,0.0,0.0,,2008-01-15 17:27:08,2073.0,Carcharhiniformes,Leptochariidae,Leptocharias,"(Müller & Henle, 1839)",Barbeled houndshark,demersal,,10.0,75.0,10.0,60.0,77.0,55.0,,20.0,27.0,leptocharias smithii,105804,376642,376642,Leptocharias smithii,-,Leptochariidae,long_list,-,-,-,105804.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105804,Leptocharias smithii,"(Müller & Henle, 1839)",accepted,Species,105804.0,Leptocharias smithii,Carcharhiniformes,Leptochariidae,Leptocharias,1.0,1.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105804.0,leptocharias smithii,376642,18749,aphia
172663,105805,Pseudotriakis microdon,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,2536.0,Carcharhiniformes,Pseudotriakidae,Pseudotriakis,"de Brito Capello, 1868",False catshark,bathydemersal,,173.0,1890.0,,,269.0,,,,,pseudotriakis microdon,105805,172663,172663,Pseudotriakis microdon,-,Pseudotriakidae,long_list,-,-,-,105805.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105805,Pseudotriakis microdon,"de Brito Capello, 1868",accepted,Species,105805.0,Pseudotriakis microdon,Carcharhiniformes,Pseudotriakidae,Pseudotriakis,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105805.0,pseudotriakis microdon,172663,18808,aphia
164745,105806,Apristurus aphyodes,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,54373.0,Carcharhiniformes,Pentanchidae,Apristurus,"Nakaya & Stehmann, 1998",,bathypelagic,,1014.0,1800.0,,,,,,,,apristurus aphyodes,105806,164745,164745,Apristurus aphyodes,-,Pentanchidae,long_list,-,-,-,105806.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105806,Apristurus aphyodes,"Nakaya & Stehmann, 1998",accepted,Species,105806.0,Apristurus aphyodes,Carcharhiniformes,Pentanchidae,Apristurus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105806.0,apristurus aphyodes,164745,18752,aphia
164746,105807,Apristurus laurussonii,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,770.0,Carcharhiniformes,Pentanchidae,Apristurus,"(Saemundsson, 1922)",Iceland catshark,bathydemersal,,560.0,1550.0,,,76.0,,,,,apristurus laurussonii,105807,164746,164746,Apristurus laurussonii,-,Pentanchidae,long_list,-,-,-,105807.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105807,Apristurus laurussonii,"(Saemundsson, 1922)",accepted,Species,105807.0,Apristurus laurussonii,Carcharhiniformes,Pentanchidae,Apristurus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105807.0,apristurus laurussonii,164746,18761,aphia
164748,105808,Apristurus manis,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,774.0,Carcharhiniformes,Pentanchidae,Apristurus,"(Springer, 1979)",Ghost catshark,bathydemersal,,600.0,1900.0,,,85.0,,,,,apristurus manis,105808,164748,164748,Apristurus manis,-,Pentanchidae,long_list,-,-,-,105808.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105808,Apristurus manis,"(Springer, 1979)",accepted,Species,105808.0,Apristurus manis,Carcharhiniformes,Pentanchidae,Apristurus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105808.0,apristurus manis,164748,18765,aphia
164747,105809,Apristurus microps,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,775.0,Carcharhiniformes,Pentanchidae,Apristurus,"(Gilchrist, 1922)",Smalleye catshark,bathydemersal,,1000.0,2200.0,,,61.0,,,,,apristurus microps,105809,164747,164747,Apristurus microps,-,Pentanchidae,long_list,-,-,-,105809.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105809,Apristurus microps,"(Gilchrist, 1922)",accepted,Species,105809.0,Apristurus microps,Carcharhiniformes,Pentanchidae,Apristurus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105809.0,apristurus microps,164747,18767,aphia
1804729,105810,Apristurus nasutus,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,776.0,Carcharhiniformes,Pentanchidae,Apristurus,"de Buen, 1959",Largenose catshark,bathydemersal,,400.0,925.0,,,70.0,,,,,apristurus nasutus,105810,1804729,1804729,Apristurus nasutus,-,Pentanchidae,long_list,-,-,-,105810.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105810,Apristurus nasutus,"de Buen, 1959",accepted,Species,105810.0,Apristurus nasutus,Carcharhiniformes,Pentanchidae,Apristurus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105810.0,apristurus nasutus,1804729,18769,aphia
409884,105811,Galeus atlanticus,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,53997.0,Carcharhiniformes,Pentanchidae,Galeus,"(Vaillant, 1888)",Atlantic sawtail cat shark,bathydemersal,,,540.0,,,41.7000007629395,,,,,galeus atlanticus,105811,409884,409884,Galeus atlanticus,-,Pentanchidae,long_list,-,-,-,105811.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105811,Galeus atlanticus,"(Vaillant, 1888)",accepted,Species,105811.0,Galeus atlanticus,Carcharhiniformes,Pentanchidae,Galeus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105811.0,galeus atlanticus,409884,18782,aphia
77914,105812,Galeus melastomus,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,807.0,Carcharhiniformes,Pentanchidae,Galeus,"Rafinesque, 1810",Blackmouth catshark,demersal,,55.0,1873.0,150.0,1200.0,75.0,50.0,1370.0,,,galeus melastomus,105812,77914,77914,Galeus melastomus,-,Pentanchidae,long_list,-,-,-,105812.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105812,Galeus melastomus,"Rafinesque, 1810",accepted,Species,105812.0,Galeus melastomus,Carcharhiniformes,Pentanchidae,Galeus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105812.0,galeus melastomus,77914,18786,aphia
